,env_step,episode,episode_reward,eval_total_time,frame,step,time,env,seed,agent
0,1000.0,0.0,65.94152449492941,11.461279153823853,1000,500.0,11.461220502853394,fish-swim,39,TCRL
1,26000.0,25.0,127.78583211141569,98.87876224517822,26000,13000.0,98.87871313095091,fish-swim,39,TCRL
2,51000.0,50.0,81.68974577690815,228.94236993789676,51000,25500.0,228.94232487678528,fish-swim,39,TCRL
3,76000.0,75.0,64.06167862611747,361.2760338783264,76000,38000.0,361.2759861946106,fish-swim,39,TCRL
4,101000.0,100.0,132.70407169284178,496.3612051010132,101000,50500.0,496.361159324646,fish-swim,39,TCRL
5,126000.0,125.0,130.04942995174244,632.0259883403778,126000,63000.0,632.0259330272675,fish-swim,39,TCRL
6,151000.0,150.0,167.5378035243876,769.5674152374268,151000,75500.0,769.5673689842224,fish-swim,39,TCRL
7,176000.0,175.0,356.280513652907,908.254311323166,176000,88000.0,908.254257440567,fish-swim,39,TCRL
8,201000.0,200.0,157.13727115731044,1048.255824804306,201000,100500.0,1048.2557773590088,fish-swim,39,TCRL
9,226000.0,225.0,384.87664796490617,1190.880660533905,226000,113000.0,1190.880614042282,fish-swim,39,TCRL
10,251000.0,250.0,268.500807027862,1334.9606230258942,251000,125500.0,1334.9605758190155,fish-swim,39,TCRL
11,276000.0,275.0,318.4184350828467,1480.5037941932678,276000,138000.0,1480.5037484169006,fish-swim,39,TCRL
12,301000.0,300.0,474.3196184957266,1627.7143280506134,301000,150500.0,1627.714272737503,fish-swim,39,TCRL
13,326000.0,325.0,513.8919053249901,1776.67582821846,326000,163000.0,1776.6757807731628,fish-swim,39,TCRL
14,351000.0,350.0,604.1425902234305,1927.8234553337095,351000,175500.0,1927.8234028816223,fish-swim,39,TCRL
15,376000.0,375.0,588.5401060613253,2080.0933241844177,376000,188000.0,2080.093278646469,fish-swim,39,TCRL
16,401000.0,400.0,561.1221893781927,2233.7814621925354,401000,200500.0,2233.7814090251923,fish-swim,39,TCRL
17,426000.0,425.0,595.3590311791489,2388.4675722122192,426000,213000.0,2388.467526197433,fish-swim,39,TCRL
18,451000.0,450.0,569.9987495974467,2544.75433921814,451000,225500.0,2544.7542946338654,fish-swim,39,TCRL
19,476000.0,475.0,601.982276150481,2702.007299184799,476000,238000.0,2702.007242679596,fish-swim,39,TCRL
20,501000.0,500.0,713.2067738694759,2860.693873643875,501000,250500.0,2860.693827152252,fish-swim,39,TCRL
21,526000.0,525.0,745.5707370328954,3020.52556347847,526000,263000.0,3020.5255093574524,fish-swim,39,TCRL
22,551000.0,550.0,643.7979410230703,3181.9428963661194,551000,275500.0,3181.942850828171,fish-swim,39,TCRL
23,576000.0,575.0,577.66150602396,3344.819708108902,576000,288000.0,3344.8196563720703,fish-swim,39,TCRL
24,601000.0,600.0,715.5132701150335,3508.870654821396,601000,300500.0,3508.8706092834477,fish-swim,39,TCRL
25,626000.0,625.0,740.8937519240397,3674.0006930828094,626000,313000.0,3674.0006494522095,fish-swim,39,TCRL
26,651000.0,650.0,718.1152357625772,3839.159782648087,651000,325500.0,3839.159732103348,fish-swim,39,TCRL
27,676000.0,675.0,734.7936030129385,4005.2220299243927,676000,338000.0,4005.2219791412354,fish-swim,39,TCRL
28,701000.0,700.0,673.6507800546159,4172.319816827774,701000,350500.0,4172.3197700977325,fish-swim,39,TCRL
29,726000.0,725.0,744.4365028429319,4341.2854788303375,726000,363000.0,4341.285431861877,fish-swim,39,TCRL
30,751000.0,750.0,770.8437702662239,4511.181747674942,751000,375500.0,4511.181699037552,fish-swim,39,TCRL
31,776000.0,775.0,733.0198116738427,4682.041843175888,776000,388000.0,4682.041794538498,fish-swim,39,TCRL
32,801000.0,800.0,658.397201675227,4854.312831640244,801000,400500.0,4854.312784433365,fish-swim,39,TCRL
33,826000.0,825.0,778.6120458970706,5027.848214626312,826000,413000.0,5027.848165750504,fish-swim,39,TCRL
34,851000.0,850.0,780.4667540018842,5202.687058925629,851000,425500.0,5202.687011241913,fish-swim,39,TCRL
35,876000.0,875.0,806.7388888124976,5378.506425142288,876000,438000.0,5378.506374120712,fish-swim,39,TCRL
36,901000.0,900.0,719.6885094360966,5555.813877344132,901000,450500.0,5555.813829898834,fish-swim,39,TCRL
37,926000.0,925.0,787.3222250378147,5733.458045244217,926000,463000.0,5733.457995414734,fish-swim,39,TCRL
38,951000.0,950.0,761.1285810664691,5912.313520669937,951000,475500.0,5912.313474178314,fish-swim,39,TCRL
39,976000.0,975.0,738.2294125511107,6092.885241031647,976000,488000.0,6092.885194301605,fish-swim,39,TCRL
40,1001000.0,1000.0,801.0361064727474,6274.737501382828,1001000,500500.0,6274.737454414368,fish-swim,39,TCRL
0,1000.0,0.0,55.33974286911666,10.62511920928955,1000,500.0,10.62505269050598,fish-swim,792,TCRL
1,26000.0,25.0,61.168205974641566,98.76529574394226,26000,13000.0,98.76524376869202,fish-swim,792,TCRL
2,51000.0,50.0,101.588639938105,229.6817796230316,51000,25500.0,229.68172693252563,fish-swim,792,TCRL
3,76000.0,75.0,251.14434321329205,362.95954179763794,76000,38000.0,362.959486246109,fish-swim,792,TCRL
4,101000.0,100.0,252.078761827494,497.9650537967682,101000,50500.0,497.9649980068207,fish-swim,792,TCRL
5,126000.0,125.0,408.08696051737,632.3667249679565,126000,63000.0,632.3666718006134,fish-swim,792,TCRL
6,151000.0,150.0,572.9389310354609,766.1201939582825,151000,75500.0,766.120142698288,fish-swim,792,TCRL
7,176000.0,175.0,477.583273475651,901.9030737876892,176000,88000.0,901.903023004532,fish-swim,792,TCRL
8,201000.0,200.0,673.5860760169188,1039.0581405162811,201000,100500.0,1039.0580899715424,fish-swim,792,TCRL
9,226000.0,225.0,609.2657556258652,1178.058183670044,226000,113000.0,1178.0581259727478,fish-swim,792,TCRL
10,251000.0,250.0,693.0403140706128,1318.4951586723328,251000,125500.0,1318.495102643967,fish-swim,792,TCRL
11,276000.0,275.0,623.4356348054287,1460.5864198207855,276000,138000.0,1460.586368083954,fish-swim,792,TCRL
12,301000.0,300.0,762.0217637173079,1604.4473731517792,301000,150500.0,1604.4473176002502,fish-swim,792,TCRL
13,326000.0,325.0,612.2100675089007,1749.555300951004,326000,163000.0,1749.5552508831024,fish-swim,792,TCRL
14,351000.0,350.0,667.7858837607926,1895.8517456054688,351000,175500.0,1895.851694107056,fish-swim,792,TCRL
15,376000.0,375.0,727.5316813801022,2044.3224458694456,376000,188000.0,2044.3223946094515,fish-swim,792,TCRL
16,401000.0,400.0,758.8545561519595,2193.5818412303925,401000,200500.0,2193.5817885398865,fish-swim,792,TCRL
17,426000.0,425.0,590.9287114777653,2344.3680493831635,426000,213000.0,2344.3679988384247,fish-swim,792,TCRL
18,451000.0,450.0,722.2076399363791,2496.226504087448,451000,225500.0,2496.226451158524,fish-swim,792,TCRL
19,476000.0,475.0,615.2906466853788,2649.852612257004,476000,238000.0,2649.8525614738464,fish-swim,792,TCRL
20,501000.0,500.0,740.7623366900893,2804.46187710762,501000,250500.0,2804.46182513237,fish-swim,792,TCRL
21,526000.0,525.0,676.87152253867,2960.45616364479,526000,263000.0,2960.456112384796,fish-swim,792,TCRL
22,551000.0,550.0,784.3826644147024,3117.383984565735,551000,275500.0,3117.383931398392,fish-swim,792,TCRL
23,576000.0,575.0,752.1094529584609,3275.679021835327,576000,288000.0,3275.67897105217,fish-swim,792,TCRL
24,601000.0,600.0,761.0139952083113,3435.001278400421,601000,300500.0,3435.001227140426,fish-swim,792,TCRL
25,626000.0,625.0,777.1262795149189,3594.8269131183624,626000,313000.0,3594.826861858368,fish-swim,792,TCRL
26,651000.0,650.0,752.2822615192848,3754.883358001709,651000,325500.0,3754.883301734924,fish-swim,792,TCRL
27,676000.0,675.0,809.6532940152472,3916.699098825455,676000,338000.0,3916.69904589653,fish-swim,792,TCRL
28,701000.0,700.0,802.6374951150087,4080.36306476593,701000,350500.0,4080.36301279068,fish-swim,792,TCRL
29,726000.0,725.0,808.4483009964603,4245.00653386116,726000,363000.0,4245.006482124329,fish-swim,792,TCRL
30,751000.0,750.0,791.0407728585009,4411.6796271801,751000,375500.0,4411.679572582245,fish-swim,792,TCRL
31,776000.0,775.0,791.4848909731569,4579.784504175186,776000,388000.0,4579.784451723099,fish-swim,792,TCRL
32,801000.0,800.0,805.3588152659635,4748.54452419281,801000,400500.0,4748.544469356537,fish-swim,792,TCRL
33,826000.0,825.0,762.949552113413,4917.930434465408,826000,413000.0,4917.930382490158,fish-swim,792,TCRL
34,851000.0,850.0,789.4781320957857,5088.832748889923,851000,425500.0,5088.832694530487,fish-swim,792,TCRL
35,876000.0,875.0,794.4449360444228,5261.052642583847,876000,438000.0,5261.052590847015,fish-swim,792,TCRL
36,901000.0,900.0,786.1154917171688,5434.674559354782,901000,450500.0,5434.674506902695,fish-swim,792,TCRL
37,926000.0,925.0,816.1208400656699,5609.731058835983,926000,463000.0,5609.731001615524,fish-swim,792,TCRL
38,951000.0,950.0,732.7594921911333,5785.704088926315,951000,475500.0,5785.704036712647,fish-swim,792,TCRL
