,_step,env_step,episode,episode_reward,time,env,seed,agent
32,823,801000.0,800,371.36342406041547,2174.5952661037445,acrobot-swingup,9234,TD3
33,849,826000.0,825,373.60974141825284,2243.9735662937164,acrobot-swingup,9234,TD3
34,875,851000.0,850,448.1759975697199,2313.8320808410645,acrobot-swingup,9234,TD3
35,901,876000.0,875,412.4950652290596,2381.663566350937,acrobot-swingup,9234,TD3
36,927,901000.0,900,471.48431592621256,2450.9908418655396,acrobot-swingup,9234,TD3
37,953,926000.0,925,457.2031245001352,2520.696358203888,acrobot-swingup,9234,TD3
38,979,951000.0,950,511.11862576832647,2589.8875398635864,acrobot-swingup,9234,TD3
39,1005,976000.0,975,425.12155166884315,2658.9869470596313,acrobot-swingup,9234,TD3
40,1031,1001000.0,1000,510.2162586567064,2728.792448282242,acrobot-swingup,9234,TD3
0,0,1000.0,0,35.57004752043256,5.051952123641968,acrobot-swingup,3702,TD3
1,17,26000.0,25,24.653980863630963,53.01397919654846,acrobot-swingup,3702,TD3
2,43,51000.0,50,18.61790821066536,122.95491218566895,acrobot-swingup,3702,TD3
3,69,76000.0,75,49.64748756774092,192.46321654319763,acrobot-swingup,3702,TD3
4,95,101000.0,100,78.27993158615514,261.2845940589905,acrobot-swingup,3702,TD3
5,121,126000.0,125,131.14844022122344,331.8062083721161,acrobot-swingup,3702,TD3
6,147,151000.0,150,109.2327859122865,399.3580114841461,acrobot-swingup,3702,TD3
7,173,176000.0,175,57.37215927512673,469.0237567424774,acrobot-swingup,3702,TD3
8,199,201000.0,200,234.94535137864654,538.2816150188446,acrobot-swingup,3702,TD3
9,225,226000.0,225,143.01787589626593,607.5937271118164,acrobot-swingup,3702,TD3
10,251,251000.0,250,252.8169729553353,677.3040609359741,acrobot-swingup,3702,TD3
11,277,276000.0,275,179.4981115879163,746.343398809433,acrobot-swingup,3702,TD3
12,303,301000.0,300,202.21402975606074,816.5235073566437,acrobot-swingup,3702,TD3
13,329,326000.0,325,272.0635939865382,885.5650043487549,acrobot-swingup,3702,TD3
14,355,351000.0,350,180.3881201937108,955.2787766456604,acrobot-swingup,3702,TD3
15,381,376000.0,375,184.17334511535384,1023.7370944023132,acrobot-swingup,3702,TD3
16,407,401000.0,400,210.73662388600184,1091.9936470985413,acrobot-swingup,3702,TD3
17,433,426000.0,425,397.86624603140046,1161.9855213165283,acrobot-swingup,3702,TD3
18,459,451000.0,450,281.25226392207003,1230.9183304309845,acrobot-swingup,3702,TD3
19,485,476000.0,475,427.0404497143994,1298.890347480774,acrobot-swingup,3702,TD3
20,511,501000.0,500,267.2801863383885,1368.6247606277466,acrobot-swingup,3702,TD3
21,537,526000.0,525,467.7603906241922,1438.8358540534973,acrobot-swingup,3702,TD3
22,563,551000.0,550,272.3401886117864,1507.5351893901825,acrobot-swingup,3702,TD3
23,589,576000.0,575,380.6627306371354,1576.6118812561035,acrobot-swingup,3702,TD3
24,615,601000.0,600,382.9795788361219,1646.267156124115,acrobot-swingup,3702,TD3
25,641,626000.0,625,395.60022470685664,1716.2560286521912,acrobot-swingup,3702,TD3
26,667,651000.0,650,325.8312584493755,1785.3211443424225,acrobot-swingup,3702,TD3
27,693,676000.0,675,453.373900342644,1855.4786262512207,acrobot-swingup,3702,TD3
28,719,701000.0,700,372.50799470582126,1924.5915689468384,acrobot-swingup,3702,TD3
29,745,726000.0,725,525.5324190599499,1994.5459311008453,acrobot-swingup,3702,TD3
30,771,751000.0,750,480.9491811556074,2064.8300728797913,acrobot-swingup,3702,TD3
31,797,776000.0,775,485.8176449487184,2135.1953644752502,acrobot-swingup,3702,TD3
32,823,801000.0,800,432.9425570188084,2203.7029900550842,acrobot-swingup,3702,TD3
33,849,826000.0,825,472.12054522942816,2272.6217443943024,acrobot-swingup,3702,TD3
34,875,851000.0,850,339.8497913276585,2342.697539329529,acrobot-swingup,3702,TD3
35,901,876000.0,875,364.8757372359964,2412.475293159485,acrobot-swingup,3702,TD3
36,927,901000.0,900,489.1308031814985,2480.8909878730774,acrobot-swingup,3702,TD3
37,953,926000.0,925,379.84332519192543,2548.778540611267,acrobot-swingup,3702,TD3
38,979,951000.0,950,466.3958988566552,2617.83105802536,acrobot-swingup,3702,TD3
39,1005,976000.0,975,498.5319084845096,2685.9594292640686,acrobot-swingup,3702,TD3
40,1031,1001000.0,1000,402.0175498099478,2754.8361105918884,acrobot-swingup,3702,TD3
0,0,1000.0,0,28.410633603619328,4.539340972900391,acrobot-swingup,2001,TD3
1,17,26000.0,25,21.858439974162458,53.58400797843933,acrobot-swingup,2001,TD3
2,43,51000.0,50,29.95026327833039,124.77921891212463,acrobot-swingup,2001,TD3
3,69,76000.0,75,50.87640352459134,196.44902896881104,acrobot-swingup,2001,TD3
4,95,101000.0,100,84.0758155653248,268.9562873840332,acrobot-swingup,2001,TD3
5,121,126000.0,125,40.661538324808305,339.70118474960327,acrobot-swingup,2001,TD3
6,147,151000.0,150,44.03769432446679,410.4060266017914,acrobot-swingup,2001,TD3
7,173,176000.0,175,58.86963308635349,481.54610991477966,acrobot-swingup,2001,TD3
8,199,201000.0,200,131.03185047766107,553.3937275409698,acrobot-swingup,2001,TD3
9,225,226000.0,225,175.24039072345332,625.231477022171,acrobot-swingup,2001,TD3
10,251,251000.0,250,190.50681899028504,696.8364789485931,acrobot-swingup,2001,TD3
11,277,276000.0,275,177.61909278569374,768.6514387130737,acrobot-swingup,2001,TD3
12,303,301000.0,300,307.66267887264456,841.006724357605,acrobot-swingup,2001,TD3
13,329,326000.0,325,208.1327907623626,913.015881061554,acrobot-swingup,2001,TD3
14,355,351000.0,350,273.9690464976034,984.8139185905457,acrobot-swingup,2001,TD3
15,381,376000.0,375,339.09294233061865,1055.5123612880707,acrobot-swingup,2001,TD3
16,407,401000.0,400,243.5212862717542,1127.3922429084778,acrobot-swingup,2001,TD3
17,433,426000.0,425,184.48808310743317,1198.5182392597198,acrobot-swingup,2001,TD3
18,459,451000.0,450,268.14441891423803,1269.309541940689,acrobot-swingup,2001,TD3
19,485,476000.0,475,323.83674913301934,1339.840107679367,acrobot-swingup,2001,TD3
20,511,501000.0,500,270.6404153745785,1412.1905348300934,acrobot-swingup,2001,TD3
21,537,526000.0,525,317.0073834674546,1483.0323431491852,acrobot-swingup,2001,TD3
22,563,551000.0,550,336.7119001490157,1553.50927400589,acrobot-swingup,2001,TD3
23,589,576000.0,575,365.86157118169615,1625.5754885673523,acrobot-swingup,2001,TD3
24,615,601000.0,600,471.2396787898545,1697.024133682251,acrobot-swingup,2001,TD3
25,641,626000.0,625,372.1188386320105,1768.9506628513336,acrobot-swingup,2001,TD3
26,667,651000.0,650,192.94081156546508,1840.525719165802,acrobot-swingup,2001,TD3
27,693,676000.0,675,366.3195901422605,1913.1550450325012,acrobot-swingup,2001,TD3
28,719,701000.0,700,333.94750084059564,1984.856740474701,acrobot-swingup,2001,TD3
29,745,726000.0,725,436.645469641416,2056.6933245658875,acrobot-swingup,2001,TD3
30,771,751000.0,750,285.21351775493105,2128.200871706009,acrobot-swingup,2001,TD3
31,797,776000.0,775,291.24645860382634,2199.5144436359406,acrobot-swingup,2001,TD3
32,823,801000.0,800,460.37903983516736,2271.4710278511047,acrobot-swingup,2001,TD3
33,849,826000.0,825,357.9751211805923,2343.104934692383,acrobot-swingup,2001,TD3
34,875,851000.0,850,293.90491666917944,2415.122667312622,acrobot-swingup,2001,TD3
35,901,876000.0,875,358.20928711676277,2487.9545438289642,acrobot-swingup,2001,TD3
36,927,901000.0,900,363.7988082471293,2559.506815671921,acrobot-swingup,2001,TD3
37,953,926000.0,925,475.0712408626831,2630.5121977329254,acrobot-swingup,2001,TD3
38,979,951000.0,950,351.66506307212177,2702.4679119586945,acrobot-swingup,2001,TD3
39,1005,976000.0,975,441.25683409697706,2774.006046772003,acrobot-swingup,2001,TD3
40,1031,1001000.0,1000,450.8941973773666,2845.7475514411926,acrobot-swingup,2001,TD3
0,0,1000.0,0,2.581062499880397,6.036754131317139,acrobot-swingup,7753,TD3
1,17,26000.0,25,39.230422428530126,69.56254863739014,acrobot-swingup,7753,TD3
2,43,51000.0,50,48.28531616355683,165.63340711593628,acrobot-swingup,7753,TD3
3,69,76000.0,75,71.15792709524676,262.20544958114624,acrobot-swingup,7753,TD3
4,95,101000.0,100,108.48556664644995,355.07149362564087,acrobot-swingup,7753,TD3
5,121,126000.0,125,85.65767799067338,448.4194977283478,acrobot-swingup,7753,TD3
6,147,151000.0,150,124.00047576265244,542.1012480258942,acrobot-swingup,7753,TD3
7,173,176000.0,175,177.25731731762556,635.6194961071014,acrobot-swingup,7753,TD3
8,199,201000.0,200,207.9722963015393,734.5052790641785,acrobot-swingup,7753,TD3
9,225,226000.0,225,134.34368722506107,833.6588563919067,acrobot-swingup,7753,TD3
10,251,251000.0,250,156.58993437566204,928.8627529144287,acrobot-swingup,7753,TD3
11,277,276000.0,275,248.90692165557078,1023.6157665252686,acrobot-swingup,7753,TD3
12,303,301000.0,300,262.96139566443827,1119.946373462677,acrobot-swingup,7753,TD3
13,329,326000.0,325,219.13753766299547,1216.6063692569733,acrobot-swingup,7753,TD3
14,355,351000.0,350,180.088958712032,1310.6170661449432,acrobot-swingup,7753,TD3
15,381,376000.0,375,248.6393530448691,1404.4109382629395,acrobot-swingup,7753,TD3
16,407,401000.0,400,317.11973686123446,1500.010925769806,acrobot-swingup,7753,TD3
17,433,426000.0,425,267.71424331411606,1599.5276288986206,acrobot-swingup,7753,TD3
18,459,451000.0,450,271.882886826835,1698.1559209823608,acrobot-swingup,7753,TD3
19,485,476000.0,475,334.47756487913176,1791.9297952651978,acrobot-swingup,7753,TD3
20,511,501000.0,500,330.2622422497204,1885.6568517684937,acrobot-swingup,7753,TD3
21,537,526000.0,525,196.99451152795885,1982.6682524681091,acrobot-swingup,7753,TD3
22,563,551000.0,550,250.32854418488756,2082.5894451141357,acrobot-swingup,7753,TD3
23,589,576000.0,575,313.84551826026853,2180.9435312747955,acrobot-swingup,7753,TD3
24,615,601000.0,600,300.03129799393616,2277.9956319332123,acrobot-swingup,7753,TD3
25,641,626000.0,625,376.3731076663929,2374.345503091812,acrobot-swingup,7753,TD3
26,667,651000.0,650,361.2906515669565,2473.9880397319794,acrobot-swingup,7753,TD3
27,693,676000.0,675,337.36724739289036,2572.675539493561,acrobot-swingup,7753,TD3
28,719,701000.0,700,484.63588670141706,2670.433360338211,acrobot-swingup,7753,TD3
29,745,726000.0,725,366.30126728764066,2763.831817150116,acrobot-swingup,7753,TD3
30,771,751000.0,750,401.13850870340076,2858.1067752838135,acrobot-swingup,7753,TD3
31,797,776000.0,775,456.9449280144847,2953.152468919754,acrobot-swingup,7753,TD3
32,823,801000.0,800,470.4139785368746,3047.058130264282,acrobot-swingup,7753,TD3
33,849,826000.0,825,464.2131103587418,3140.841543197632,acrobot-swingup,7753,TD3
34,875,851000.0,850,504.47905694647915,3234.4200122356415,acrobot-swingup,7753,TD3
35,901,876000.0,875,504.2550721539569,3329.6336574554443,acrobot-swingup,7753,TD3
36,927,901000.0,900,457.7704572512871,3423.9058587551117,acrobot-swingup,7753,TD3
37,953,926000.0,925,455.532693427025,3517.864110469818,acrobot-swingup,7753,TD3
38,979,951000.0,950,538.4903209648932,3611.6346774101257,acrobot-swingup,7753,TD3
39,1005,976000.0,975,541.5067979400523,3706.0582444667816,acrobot-swingup,7753,TD3
40,1031,1001000.0,1000,507.934726882337,3800.459676027298,acrobot-swingup,7753,TD3
0,0,1000.0,0,5.175641761373742,6.700942277908325,cheetah-run,9132,TD3
1,17,26000.0,25,141.9964994752105,122.71551299095154,cheetah-run,9132,TD3
2,43,51000.0,50,223.65349772531673,297.8147268295288,cheetah-run,9132,TD3
3,69,76000.0,75,340.2099787687299,477.1631360054016,cheetah-run,9132,TD3
4,95,101000.0,100,490.97805497190456,656.7303364276886,cheetah-run,9132,TD3
5,121,126000.0,125,543.7130381346876,832.1616468429565,cheetah-run,9132,TD3
6,147,151000.0,150,572.8639843852641,1008.0405685901642,cheetah-run,9132,TD3
7,173,176000.0,175,603.8141389534856,1181.3701515197754,cheetah-run,9132,TD3
8,199,201000.0,200,626.2126947236359,1358.5929934978485,cheetah-run,9132,TD3
9,225,226000.0,225,624.5789910502383,1534.2054650783539,cheetah-run,9132,TD3
10,251,251000.0,250,671.8914754699315,1711.8105461597443,cheetah-run,9132,TD3
11,277,276000.0,275,663.8988632464623,1894.9260058403015,cheetah-run,9132,TD3
12,303,301000.0,300,716.143867988231,2078.290469646454,cheetah-run,9132,TD3
13,329,326000.0,325,752.6070610333528,2241.4485609531403,cheetah-run,9132,TD3
14,355,351000.0,350,763.096432558915,2415.428653240204,cheetah-run,9132,TD3
15,381,376000.0,375,761.7442202361901,2592.9627017974854,cheetah-run,9132,TD3
16,407,401000.0,400,752.2297989011531,2766.334264755249,cheetah-run,9132,TD3
17,433,426000.0,425,725.0624569296053,2947.598575115204,cheetah-run,9132,TD3
18,459,451000.0,450,786.2721201717859,3122.795403242111,cheetah-run,9132,TD3
19,485,476000.0,475,768.8296806532796,3299.490449666977,cheetah-run,9132,TD3
20,511,501000.0,500,685.0085429800002,3478.8799607753754,cheetah-run,9132,TD3
21,537,526000.0,525,816.3365827657042,3647.001998901367,cheetah-run,9132,TD3
22,563,551000.0,550,831.1465006961955,3827.487968683243,cheetah-run,9132,TD3
23,589,576000.0,575,850.90221358359,4006.8636286258698,cheetah-run,9132,TD3
24,615,601000.0,600,847.6021181870432,4183.641011238098,cheetah-run,9132,TD3
25,641,626000.0,625,869.851775940064,4357.196359872818,cheetah-run,9132,TD3
26,667,651000.0,650,840.6473749416006,4527.583163976669,cheetah-run,9132,TD3
27,693,676000.0,675,732.3842874356039,4696.8699996471405,cheetah-run,9132,TD3
28,719,701000.0,700,873.7416771448248,4873.406847238541,cheetah-run,9132,TD3
29,745,726000.0,725,881.9479340088798,5054.598835468292,cheetah-run,9132,TD3
30,771,751000.0,750,881.8755416010387,5230.223630428314,cheetah-run,9132,TD3
31,797,776000.0,775,859.6656366166641,5389.935006141663,cheetah-run,9132,TD3
32,823,801000.0,800,882.8629296594397,5557.411927223206,cheetah-run,9132,TD3
33,849,826000.0,825,861.6155872121684,5720.294498682022,cheetah-run,9132,TD3
34,875,851000.0,850,890.9418692068372,5883.768814086914,cheetah-run,9132,TD3
35,901,876000.0,875,884.7788193089166,6049.901331663132,cheetah-run,9132,TD3
36,927,901000.0,900,898.8220468771888,6228.362906694412,cheetah-run,9132,TD3
37,953,926000.0,925,895.6698921986474,6408.3698670864105,cheetah-run,9132,TD3
38,979,951000.0,950,868.3784909570364,6580.302442550659,cheetah-run,9132,TD3
39,1005,976000.0,975,860.7769460565203,6753.238059043884,cheetah-run,9132,TD3
40,1031,1001000.0,1000,870.6280396255412,6932.717558145523,cheetah-run,9132,TD3
0,0,1000.0,0,53.12638179597568,7.345785140991211,cheetah-run,5617,TD3
1,17,26000.0,25,155.6717764105436,135.73965692520142,cheetah-run,5617,TD3
2,43,51000.0,50,199.2216949052838,327.04729557037354,cheetah-run,5617,TD3
3,69,76000.0,75,267.91177241305,517.6002378463745,cheetah-run,5617,TD3
4,95,101000.0,100,462.80202923429744,702.762708902359,cheetah-run,5617,TD3
5,121,126000.0,125,503.76777929679,895.2710394859314,cheetah-run,5617,TD3
6,147,151000.0,150,524.9227134680284,1087.0534691810608,cheetah-run,5617,TD3
7,173,176000.0,175,588.4132744372484,1273.4925830364227,cheetah-run,5617,TD3
8,199,201000.0,200,605.847037058344,1458.726039648056,cheetah-run,5617,TD3
9,225,226000.0,225,494.3575459617624,1647.5292327404022,cheetah-run,5617,TD3
10,251,251000.0,250,636.8943991057847,1835.5508551597595,cheetah-run,5617,TD3
11,277,276000.0,275,689.5103551920631,2027.514535188675,cheetah-run,5617,TD3
12,303,301000.0,300,679.5670914163783,2219.9451961517334,cheetah-run,5617,TD3
13,329,326000.0,325,704.786145424731,2412.823160171509,cheetah-run,5617,TD3
14,355,351000.0,350,703.5940719628976,2604.004063129425,cheetah-run,5617,TD3
15,381,376000.0,375,757.2726946214154,2794.7142651081085,cheetah-run,5617,TD3
16,407,401000.0,400,694.5306275388272,2987.188195705414,cheetah-run,5617,TD3
17,433,426000.0,425,701.3179807478599,3177.767169237137,cheetah-run,5617,TD3
18,459,451000.0,450,756.1218630340926,3373.7781772613525,cheetah-run,5617,TD3
19,485,476000.0,475,781.7434678010054,3567.7205929756165,cheetah-run,5617,TD3
20,511,501000.0,500,781.1207621159526,3761.2032368183136,cheetah-run,5617,TD3
21,537,526000.0,525,790.4720599146414,3958.689084291458,cheetah-run,5617,TD3
22,563,551000.0,550,762.0403580860984,4139.940082550049,cheetah-run,5617,TD3
23,589,576000.0,575,748.4677737595342,4327.378849029541,cheetah-run,5617,TD3
24,615,601000.0,600,304.4393741374156,4516.994641304016,cheetah-run,5617,TD3
25,641,626000.0,625,809.5974111065408,4709.760029554367,cheetah-run,5617,TD3
26,667,651000.0,650,820.7233088818932,4891.495935678482,cheetah-run,5617,TD3
27,693,676000.0,675,781.5181418631435,5072.972139835358,cheetah-run,5617,TD3
28,719,701000.0,700,789.3102745174887,5259.83202791214,cheetah-run,5617,TD3
29,745,726000.0,725,856.6657227934724,5448.194209575653,cheetah-run,5617,TD3
30,771,751000.0,750,833.2958190533866,5635.097616672516,cheetah-run,5617,TD3
31,797,776000.0,775,855.6654895148883,5825.713351011276,cheetah-run,5617,TD3
32,823,801000.0,800,860.948376233587,6017.758571624756,cheetah-run,5617,TD3
33,849,826000.0,825,883.6221676342636,6209.669095039368,cheetah-run,5617,TD3
34,875,851000.0,850,872.1464300101868,6399.19743347168,cheetah-run,5617,TD3
35,901,876000.0,875,873.1239499008994,6592.230770587921,cheetah-run,5617,TD3
36,927,901000.0,900,860.4606670550596,6787.507456064224,cheetah-run,5617,TD3
37,953,926000.0,925,865.5375888273511,6967.913206338882,cheetah-run,5617,TD3
38,979,951000.0,950,847.414149277008,7160.184812784195,cheetah-run,5617,TD3
39,1005,976000.0,975,870.5450388594166,7356.984985589981,cheetah-run,5617,TD3
40,1031,1001000.0,1000,886.0299942458507,7545.443482160568,cheetah-run,5617,TD3
0,0,1000.0,0,0.6066208100728303,5.045765161514282,cheetah-run,630,TD3
1,17,26000.0,25,33.56779514615268,91.97010707855225,cheetah-run,630,TD3
2,43,51000.0,50,180.58328572501992,222.67587971687317,cheetah-run,630,TD3
3,69,76000.0,75,258.60299632312785,363.2991826534271,cheetah-run,630,TD3
4,95,101000.0,100,293.2912009361272,496.8961708545685,cheetah-run,630,TD3
5,121,126000.0,125,364.09363053061406,625.4344797134399,cheetah-run,630,TD3
6,147,151000.0,150,418.0914408000302,748.6755273342133,cheetah-run,630,TD3
7,173,176000.0,175,443.1758878930398,876.5901510715485,cheetah-run,630,TD3
8,199,201000.0,200,451.1233745183439,1004.4062633514404,cheetah-run,630,TD3
9,225,226000.0,225,503.37189718962674,1141.7851507663727,cheetah-run,630,TD3
10,251,251000.0,250,524.259767995396,1274.0183646678925,cheetah-run,630,TD3
11,277,276000.0,275,545.9828166475495,1402.3917436599731,cheetah-run,630,TD3
12,303,301000.0,300,562.3449852487928,1533.9688694477081,cheetah-run,630,TD3
13,329,326000.0,325,605.300817054643,1667.5188207626343,cheetah-run,630,TD3
14,355,351000.0,350,585.0353044595834,1802.2390701770782,cheetah-run,630,TD3
15,381,376000.0,375,607.025338951915,1935.6268241405487,cheetah-run,630,TD3
16,407,401000.0,400,652.6212927250318,2075.836984872818,cheetah-run,630,TD3
17,433,426000.0,425,596.2404969273706,2215.56645655632,cheetah-run,630,TD3
18,459,451000.0,450,658.1012664721593,2359.192808866501,cheetah-run,630,TD3
19,485,476000.0,475,630.0130506047113,2496.683068037033,cheetah-run,630,TD3
20,511,501000.0,500,676.4397885666425,2645.6322960853577,cheetah-run,630,TD3
21,537,526000.0,525,663.8966855913093,2780.04913854599,cheetah-run,630,TD3
22,563,551000.0,550,686.6988340413935,2917.721228837967,cheetah-run,630,TD3
23,589,576000.0,575,687.5088046670122,3045.875398159027,cheetah-run,630,TD3
24,615,601000.0,600,689.7735602918052,3180.90709066391,cheetah-run,630,TD3
25,641,626000.0,625,705.7008657950114,3310.11478638649,cheetah-run,630,TD3
26,667,651000.0,650,715.0792799511862,3450.0534715652466,cheetah-run,630,TD3
27,693,676000.0,675,711.0893857584014,3593.7456426620483,cheetah-run,630,TD3
28,719,701000.0,700,728.47872066945,3735.926765680313,cheetah-run,630,TD3
29,745,726000.0,725,742.4199247584099,3863.517948627472,cheetah-run,630,TD3
30,771,751000.0,750,743.2826752512834,4011.2657537460327,cheetah-run,630,TD3
31,797,776000.0,775,707.4721791963132,4153.938151597977,cheetah-run,630,TD3
32,823,801000.0,800,757.57415208962,4299.980535507202,cheetah-run,630,TD3
33,849,826000.0,825,707.236002708905,4445.119613647461,cheetah-run,630,TD3
34,875,851000.0,850,756.3837184469951,4592.663113594055,cheetah-run,630,TD3
35,901,876000.0,875,710.3701742892374,4731.910165548325,cheetah-run,630,TD3
36,927,901000.0,900,756.0051391622414,4861.416955947876,cheetah-run,630,TD3
37,953,926000.0,925,769.7926981530793,4993.73917222023,cheetah-run,630,TD3
38,979,951000.0,950,760.7655418868721,5134.761958599091,cheetah-run,630,TD3
39,1005,976000.0,975,771.968106778683,5282.349126577377,cheetah-run,630,TD3
