,_step,env_step,episode,episode_reward,time,eval_total_time,frame,env,seed,name,utd_ratio
0,180,15000,0,36.96806136412924,0,0,0,quadruped-run,2,iFSQ-RL,1
1,352,20000,0,119.8755143185369,0,0,0,quadruped-run,2,iFSQ-RL,1
2,524,25000,0,63.845959824259786,0,0,0,quadruped-run,2,iFSQ-RL,1
3,696,30000,0,105.44233587715807,0,0,0,quadruped-run,2,iFSQ-RL,1
4,868,35000,0,89.08667551880225,0,0,0,quadruped-run,2,iFSQ-RL,1
5,1040,40000,0,180.10443902586704,0,0,0,quadruped-run,2,iFSQ-RL,1
6,1212,45000,0,33.8758338341926,0,0,0,quadruped-run,2,iFSQ-RL,1
7,1384,50000,0,139.5071122681955,0,0,0,quadruped-run,2,iFSQ-RL,1
8,1556,55000,0,122.05349560000589,0,0,0,quadruped-run,2,iFSQ-RL,1
9,1728,60000,0,116.88420802628244,0,0,0,quadruped-run,2,iFSQ-RL,1
10,1900,65000,0,115.12211949881457,0,0,0,quadruped-run,2,iFSQ-RL,1
11,2072,70000,0,113.73597420839943,0,0,0,quadruped-run,2,iFSQ-RL,1
12,2244,75000,0,57.69142182748838,0,0,0,quadruped-run,2,iFSQ-RL,1
13,2416,80000,0,100.06349496346665,0,0,0,quadruped-run,2,iFSQ-RL,1
14,2588,85000,0,94.1541527862195,0,0,0,quadruped-run,2,iFSQ-RL,1
15,2760,90000,0,242.14136888607754,0,0,0,quadruped-run,2,iFSQ-RL,1
16,2932,95000,0,309.52551596410484,0,0,0,quadruped-run,2,iFSQ-RL,1
17,3104,100000,0,283.2595178309413,0,0,0,quadruped-run,2,iFSQ-RL,1
18,3276,105000,0,436.3646430051682,0,0,0,quadruped-run,2,iFSQ-RL,1
19,3448,110000,0,452.5232028534694,0,0,0,quadruped-run,2,iFSQ-RL,1
20,3620,115000,0,451.3820315347799,0,0,0,quadruped-run,2,iFSQ-RL,1
21,3792,120000,0,460.29685012102453,0,0,0,quadruped-run,2,iFSQ-RL,1
22,3964,125000,0,462.5609232525603,0,0,0,quadruped-run,2,iFSQ-RL,1
23,4136,130000,0,483.13405367859997,0,0,0,quadruped-run,2,iFSQ-RL,1
24,4308,135000,0,503.9829945061312,0,0,0,quadruped-run,2,iFSQ-RL,1
25,4480,140000,0,494.5234272676753,0,0,0,quadruped-run,2,iFSQ-RL,1
26,4652,145000,0,532.3106977135292,0,0,0,quadruped-run,2,iFSQ-RL,1
27,4824,150000,0,510.74146956829355,0,0,0,quadruped-run,2,iFSQ-RL,1
28,4996,155000,0,531.9826231522078,0,0,0,quadruped-run,2,iFSQ-RL,1
29,5168,160000,0,506.5505080323434,0,0,0,quadruped-run,2,iFSQ-RL,1
30,5340,165000,0,515.2546814641639,0,0,0,quadruped-run,2,iFSQ-RL,1
31,5512,170000,0,529.0231325242669,0,0,0,quadruped-run,2,iFSQ-RL,1
32,5684,175000,0,484.14438017262876,0,0,0,quadruped-run,2,iFSQ-RL,1
33,5856,180000,0,542.9319670404191,0,0,0,quadruped-run,2,iFSQ-RL,1
34,6028,185000,0,548.349401721626,0,0,0,quadruped-run,2,iFSQ-RL,1
35,6200,190000,0,542.5050214799194,0,0,0,quadruped-run,2,iFSQ-RL,1
36,6372,195000,0,563.2263566648486,0,0,0,quadruped-run,2,iFSQ-RL,1
37,6544,200000,0,562.474883872969,0,0,0,quadruped-run,2,iFSQ-RL,1
38,6716,205000,0,589.8038575021404,0,0,0,quadruped-run,2,iFSQ-RL,1
