,_step,env_step,episode,episode_reward,time,eval_total_time,frame,env,seed,name,utd_ratio
69,12048,360000,0,826.5635832205647,0,0,0,quadruped-run,1,iQRL,1
70,12220,365000,0,799.9258978870523,0,0,0,quadruped-run,1,iQRL,1
71,12392,370000,0,828.9174805665928,0,0,0,quadruped-run,1,iQRL,1
72,12564,375000,0,832.0608134463139,0,0,0,quadruped-run,1,iQRL,1
73,12736,380000,0,799.7625163085875,0,0,0,quadruped-run,1,iQRL,1
74,12908,385000,0,802.5673021273803,0,0,0,quadruped-run,1,iQRL,1
75,13080,390000,0,805.0623322556669,0,0,0,quadruped-run,1,iQRL,1
76,13252,395000,0,808.2805959917721,0,0,0,quadruped-run,1,iQRL,1
77,13424,400000,0,813.271857440559,0,0,0,quadruped-run,1,iQRL,1
78,13596,405000,0,837.5338710840894,0,0,0,quadruped-run,1,iQRL,1
79,13768,410000,0,825.2724815464928,0,0,0,quadruped-run,1,iQRL,1
80,13940,415000,0,844.5979392818466,0,0,0,quadruped-run,1,iQRL,1
81,14112,420000,0,868.3845150968409,0,0,0,quadruped-run,1,iQRL,1
82,14284,425000,0,862.5996052995717,0,0,0,quadruped-run,1,iQRL,1
83,14456,430000,0,861.1570583353052,0,0,0,quadruped-run,1,iQRL,1
84,14628,435000,0,864.596466683899,0,0,0,quadruped-run,1,iQRL,1
85,14800,440000,0,857.4988737271633,0,0,0,quadruped-run,1,iQRL,1
86,14972,445000,0,849.401515297615,0,0,0,quadruped-run,1,iQRL,1
87,15144,450000,0,819.9914839102014,0,0,0,quadruped-run,1,iQRL,1
88,15316,455000,0,865.0328037820029,0,0,0,quadruped-run,1,iQRL,1
89,15488,460000,0,853.5389391690958,0,0,0,quadruped-run,1,iQRL,1
90,15660,465000,0,870.9240867079585,0,0,0,quadruped-run,1,iQRL,1
91,15832,470000,0,853.9486361875839,0,0,0,quadruped-run,1,iQRL,1
92,16004,475000,0,861.0991037063301,0,0,0,quadruped-run,1,iQRL,1
93,16176,480000,0,889.0367979401723,0,0,0,quadruped-run,1,iQRL,1
94,16348,485000,0,871.8333282370877,0,0,0,quadruped-run,1,iQRL,1
95,16520,490000,0,852.7410434204154,0,0,0,quadruped-run,1,iQRL,1
96,16692,495000,0,860.851686148753,0,0,0,quadruped-run,1,iQRL,1
97,16864,500000,0,865.1810480699933,0,0,0,quadruped-run,1,iQRL,1
98,17036,505000,0,880.5347668071743,0,0,0,quadruped-run,1,iQRL,1
99,17208,510000,0,881.1440821305383,0,0,0,quadruped-run,1,iQRL,1
100,17380,515000,0,892.30313506237,0,0,0,quadruped-run,1,iQRL,1
101,17552,520000,0,884.325167119631,0,0,0,quadruped-run,1,iQRL,1
102,17724,525000,0,881.208778392151,0,0,0,quadruped-run,1,iQRL,1
103,17896,530000,0,877.4905411794316,0,0,0,quadruped-run,1,iQRL,1
104,18068,535000,0,875.2117814746686,0,0,0,quadruped-run,1,iQRL,1
105,18240,540000,0,866.605982331268,0,0,0,quadruped-run,1,iQRL,1
106,18412,545000,0,892.9963476839009,0,0,0,quadruped-run,1,iQRL,1
107,18584,550000,0,888.0462419337462,0,0,0,quadruped-run,1,iQRL,1
108,18756,555000,0,890.1574614886079,0,0,0,quadruped-run,1,iQRL,1
