,episode,eval_total_time,frame,time,env,seed,agent,utd_ratio,_step,env_step,episode_reward
57,0,0,0,0,cheetah-run,64238,VQ-TD3,1,9927.0,300000.0,762.1649401381612
58,0,0,0,0,cheetah-run,64238,VQ-TD3,1,10098.0,305000.0,764.4505511816591
59,0,0,0,0,cheetah-run,64238,VQ-TD3,1,10269.0,310000.0,738.766795712171
60,0,0,0,0,cheetah-run,64238,VQ-TD3,1,10440.0,315000.0,760.1305270481855
61,0,0,0,0,cheetah-run,64238,VQ-TD3,1,10611.0,320000.0,762.6085481956601
62,0,0,0,0,cheetah-run,64238,VQ-TD3,1,10782.0,325000.0,779.082448322326
63,0,0,0,0,cheetah-run,64238,VQ-TD3,1,10953.0,330000.0,775.7894511733205
64,0,0,0,0,cheetah-run,64238,VQ-TD3,1,11124.0,335000.0,783.4173751346767
65,0,0,0,0,cheetah-run,64238,VQ-TD3,1,11295.0,340000.0,788.2087712645531
66,0,0,0,0,cheetah-run,64238,VQ-TD3,1,11466.0,345000.0,788.07481626831
67,0,0,0,0,cheetah-run,64238,VQ-TD3,1,11637.0,350000.0,790.7266470450908
68,0,0,0,0,cheetah-run,64238,VQ-TD3,1,11808.0,355000.0,792.2108117818832
69,0,0,0,0,cheetah-run,64238,VQ-TD3,1,11979.0,360000.0,794.2321015320719
70,0,0,0,0,cheetah-run,64238,VQ-TD3,1,12150.0,365000.0,792.6043862950057
71,0,0,0,0,cheetah-run,64238,VQ-TD3,1,12321.0,370000.0,795.6141127910465
72,0,0,0,0,cheetah-run,64238,VQ-TD3,1,12492.0,375000.0,804.7782419636845
73,0,0,0,0,cheetah-run,64238,VQ-TD3,1,12663.0,380000.0,809.1858783446253
74,0,0,0,0,cheetah-run,64238,VQ-TD3,1,12834.0,385000.0,802.7335029862821
75,0,0,0,0,cheetah-run,64238,VQ-TD3,1,13005.0,390000.0,436.6914206528892
76,0,0,0,0,cheetah-run,64238,VQ-TD3,1,13176.0,395000.0,800.3760199956596
77,0,0,0,0,cheetah-run,64238,VQ-TD3,1,13347.0,400000.0,622.9035917312342
78,0,0,0,0,cheetah-run,64238,VQ-TD3,1,13518.0,405000.0,823.399919930473
79,0,0,0,0,cheetah-run,64238,VQ-TD3,1,13689.0,410000.0,809.1521535396575
80,0,0,0,0,cheetah-run,64238,VQ-TD3,1,13860.0,415000.0,811.2334869928658
81,0,0,0,0,cheetah-run,64238,VQ-TD3,1,14031.0,420000.0,806.8074538778513
82,0,0,0,0,cheetah-run,64238,VQ-TD3,1,14202.0,425000.0,828.4947111032903
83,0,0,0,0,cheetah-run,64238,VQ-TD3,1,14373.0,430000.0,644.7106286516919
84,0,0,0,0,cheetah-run,64238,VQ-TD3,1,14544.0,435000.0,826.5957275085151
85,0,0,0,0,cheetah-run,64238,VQ-TD3,1,14715.0,440000.0,827.5745621662587
86,0,0,0,0,cheetah-run,64238,VQ-TD3,1,14886.0,445000.0,654.2421155411437
87,0,0,0,0,cheetah-run,64238,VQ-TD3,1,15057.0,450000.0,830.4560083352029
88,0,0,0,0,cheetah-run,64238,VQ-TD3,1,15228.0,455000.0,721.1189113821339
89,0,0,0,0,cheetah-run,64238,VQ-TD3,1,15399.0,460000.0,829.7270999502391
90,0,0,0,0,cheetah-run,64238,VQ-TD3,1,15570.0,465000.0,840.2213160064072
91,0,0,0,0,cheetah-run,64238,VQ-TD3,1,15741.0,470000.0,789.1230434313978
92,0,0,0,0,cheetah-run,64238,VQ-TD3,1,15912.0,475000.0,843.0924621868878
93,0,0,0,0,cheetah-run,64238,VQ-TD3,1,16083.0,480000.0,849.9058232467621
94,0,0,0,0,cheetah-run,64238,VQ-TD3,1,16254.0,485000.0,840.2541804812848
95,0,0,0,0,cheetah-run,64238,VQ-TD3,1,16425.0,490000.0,835.265502423048
96,0,0,0,0,cheetah-run,64238,VQ-TD3,1,16596.0,495000.0,812.5702223535104
97,0,0,0,0,cheetah-run,64238,VQ-TD3,1,16767.0,500000.0,862.5984056185931
98,0,0,0,0,cheetah-run,64238,VQ-TD3,1,16938.0,505000.0,875.8011501710862
99,0,0,0,0,cheetah-run,64238,VQ-TD3,1,17109.0,510000.0,863.7678259596229
100,0,0,0,0,cheetah-run,64238,VQ-TD3,1,17280.0,515000.0,868.6757970064879
101,0,0,0,0,cheetah-run,64238,VQ-TD3,1,17451.0,520000.0,863.0083586230874
102,0,0,0,0,cheetah-run,64238,VQ-TD3,1,17622.0,525000.0,865.8277061700821
103,0,0,0,0,cheetah-run,64238,VQ-TD3,1,17793.0,530000.0,873.9968219079077
104,0,0,0,0,cheetah-run,64238,VQ-TD3,1,17964.0,535000.0,864.3249129280448
105,0,0,0,0,cheetah-run,64238,VQ-TD3,1,18135.0,540000.0,434.99143267364053
106,0,0,0,0,cheetah-run,64238,VQ-TD3,1,18306.0,545000.0,852.6699387826026
107,0,0,0,0,cheetah-run,64238,VQ-TD3,1,18477.0,550000.0,873.2060588881374
108,0,0,0,0,cheetah-run,64238,VQ-TD3,1,18648.0,555000.0,878.21373151429
109,0,0,0,0,cheetah-run,64238,VQ-TD3,1,18819.0,560000.0,868.6511167246848
110,0,0,0,0,cheetah-run,64238,VQ-TD3,1,18990.0,565000.0,838.8289164395071
111,0,0,0,0,cheetah-run,64238,VQ-TD3,1,19161.0,570000.0,862.807977445051
112,0,0,0,0,cheetah-run,64238,VQ-TD3,1,19332.0,575000.0,858.3142632397706
113,0,0,0,0,cheetah-run,64238,VQ-TD3,1,19503.0,580000.0,879.2837695859373
114,0,0,0,0,cheetah-run,64238,VQ-TD3,1,19674.0,585000.0,879.3153538525105
115,0,0,0,0,cheetah-run,64238,VQ-TD3,1,19845.0,590000.0,881.4393885334954
116,0,0,0,0,cheetah-run,64238,VQ-TD3,1,20016.0,595000.0,888.4110036183149
117,0,0,0,0,cheetah-run,64238,VQ-TD3,1,20187.0,600000.0,676.0510594771982
118,0,0,0,0,cheetah-run,64238,VQ-TD3,1,20358.0,605000.0,884.4184186098166
119,0,0,0,0,cheetah-run,64238,VQ-TD3,1,20529.0,610000.0,884.8555032898672
120,0,0,0,0,cheetah-run,64238,VQ-TD3,1,20700.0,615000.0,652.0403239330889
121,0,0,0,0,cheetah-run,64238,VQ-TD3,1,20871.0,620000.0,894.0282259102911
122,0,0,0,0,cheetah-run,64238,VQ-TD3,1,21042.0,625000.0,885.8746916789562
123,0,0,0,0,cheetah-run,64238,VQ-TD3,1,21213.0,630000.0,892.6304743982852
124,0,0,0,0,cheetah-run,64238,VQ-TD3,1,21384.0,635000.0,879.8593879729509
